1.000000e-04 1.000100e-05
1.300000e-04 1.000130e-05
1.690000e-04 1.000169e-05
2.197000e-04 1.000220e-05
2.856100e-04 1.000286e-05
3.712930e-04 1.000371e-05
4.826809e-04 1.000483e-05
6.274852e-04 1.000628e-05
8.157307e-04 1.000816e-05
1.060450e-03 1.001062e-05
1.378585e-03 1.001380e-05
1.792160e-03 1.001795e-05
2.329809e-03 1.002335e-05
3.028751e-03 1.003038e-05
3.937376e-03 1.003953e-05
5.118589e-03 1.005145e-05
6.654166e-03 1.006699e-05
8.650416e-03 1.008726e-05
1.124554e-02 1.011373e-05
1.461920e-02 1.014836e-05
1.900496e-02 1.019373e-05
2.470645e-02 1.025332e-05
3.211839e-02 1.033184e-05
4.175391e-02 1.043573e-05
5.428008e-02 1.057396e-05
7.056410e-02 1.075921e-05
9.173333e-02 1.100998e-05
1.192533e-01 1.135400e-05
1.550293e-01 1.183473e-05
2.015381e-01 1.252408e-05
2.619996e-01 1.355013e-05
3.405994e-01 1.516529e-05
4.427793e-01 1.794621e-05
5.756130e-01 2.356340e-05
7.482970e-01 3.972936e-05
9.727860e-01 3.674585e-04
